Season,WBAN,YearMonthDay,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
Last Winter,94239,20160119,34, ,32, ,33, ,5, ,30, ,32, ,32, ,0, ,741, ,1641, ,RA SN FG+ FG BR, ,M, ,M, ,M, ,0.43, ,28.51, ,29.85, ,5.9, ,29, ,6.1, ,13, ,290, ,12, ,290, 
Last Winter,94239,20160120,39, ,26, ,33, ,5, ,30, ,32, ,32, ,0, ,740, ,1643, ,RA SN FG+ FG BR, ,M, ,M, ,M, ,0.08, ,28.8, ,30.14, ,0.7, ,1, ,2.2, ,10, ,70, ,9, ,240, 
Last Winter,94239,20160121,35, ,33, ,34, ,6, ,32, ,33, ,31, ,0, ,739, ,1644, ,RA SN FG+ FG BR, ,M, ,M, ,M, ,0.22, ,28.77, ,30.12, ,1.1, ,30, ,1.5, ,6, ,220, ,5, ,280, 
Last Winter,94239,20160122,43, ,33, ,38, ,10, ,33, ,35, ,27, ,0, ,738, ,1646, ,RA FG+ BR, ,M, ,M, ,M, ,0.01, ,28.56, ,29.89, ,2, ,34, ,3.5, ,10, ,90, ,9, ,80, 
Last Winter,94239,20160123,37, ,33, ,35, ,7, ,33, ,34, ,30, ,0, ,737, ,1647, ,RA SN FG+ FG BR, ,M, ,M, ,M, ,0.26, ,28.48, ,29.81, ,3.6, ,29, ,4.5, ,15, ,260, ,14, ,260, 
Last Winter,94239,20160124,37, ,26, ,32, ,3, ,30, ,31, ,33, ,0, ,736, ,1649, ,FG+ FZFG BR, ,M, ,M, ,M, ,0, ,28.76, ,30.09, ,0.7, ,25, ,2.4, ,13, ,280, ,13, ,280, 
Last Winter,94239,20160125,34, ,31, ,33, ,4, ,27, ,30, ,32, ,0, ,735, ,1650, ,BR, ,M, ,M, ,M, ,0, ,28.98, ,30.34, ,1.3, ,31, ,2, ,12, ,280, ,9, ,330, 
Last Winter,94239,20160126,37, ,30, ,34, ,5, ,27, ,31, ,31, ,0, ,734, ,1652, , , ,M, ,M, ,M, ,0, ,29.05, ,30.4, ,1.1, ,30, ,1.5, ,9, ,300, ,8, ,290, 
Last Winter,94239,20160127,38, ,32, ,35, ,6, ,31, ,33, ,30, ,0, ,733, ,1653, ,RA FG+ FG BR, ,M, ,M, ,M, ,  T, ,28.97, ,30.32, ,0.3, ,33, ,0.7, ,7, ,290, ,7, ,290, 
Last Winter,94239,20160128,44, ,34, ,39, ,10, ,33, ,35, ,26, ,0, ,732, ,1655, ,FG+ FG BR, ,M, ,M, ,M, ,  T, ,28.62, ,29.95, ,1, ,28, ,3.4, ,15, ,170, ,13, ,310, 
Last Winter,94239,20160129,40, ,26, ,33, ,3, ,31, ,33, ,32, ,0, ,731, ,1656, ,RA SN FG+ FZFG BR, ,M, ,M, ,M, ,0.15, ,28.46, ,29.8, ,1.3, ,1, ,4.3, ,16, ,60, ,13, ,60, 
Last Winter,94239,20160130,40, ,25, ,33, ,3, ,28, ,30, ,32, ,0, ,729, ,1658, ,FG+ FZFG BR, ,M, ,M, ,M, ,0, ,28.55, ,29.89, ,0.2, ,2, ,1.7, ,10, ,260, ,9, ,260, 
Last Winter,94239,20160131,40, ,23, ,32, ,2, ,25, ,29, ,33, ,0, ,728, ,1659, ,BR, ,M, ,M, ,M, ,0, ,28.67, ,30.01, ,2, ,30, ,2.4, ,11, ,290, ,10, ,290, 
This Winter,94239,20161201,48, ,30, ,39, ,8, ,28, ,35, ,26, ,0, ,727, ,1613, , , ,0, ,M, ,0, ,0, ,28.85, ,30.19, ,6.4, ,30, ,7.3, ,23, ,300, ,20, ,300, 
This Winter,94239,20161202,35, ,29, ,32, ,1, ,30, ,32, ,33, ,0, ,728, ,1613, , , ,0, ,M, ,0, ,0, ,28.87, ,30.22, ,2.6, ,10, ,4.6, ,23, ,90, ,16, ,100, 
This Winter,94239,20161203,48, ,27, ,38, ,7, ,31, ,34, ,27, ,0, ,729, ,1612, ,FG+ FZFG BR, ,0, ,M, ,0, ,0, ,28.77, ,30.11, ,1.6, ,4, ,3.3, ,11, ,350, ,8, ,330, 
This Winter,94239,20161204,44, ,31, ,38, ,7, ,23, ,33, ,27, ,0, ,731, ,1612, ,RA, ,0, ,M, ,M, ,  T, ,28.59, ,29.92, ,12.5, ,31, ,12.8, ,33, ,300, ,28, ,310, 
This Winter,94239,20161205,33, ,23, ,28, ,-3, ,23, ,26, ,37, ,0, ,732, ,1611, ,SN FZFG BR, ,M, ,M, ,M, ,0.09, ,28.74, ,30.08, ,1.2, ,32, ,3.3, ,17, ,290, ,14, ,290, 
This Winter,94239,20161206,32, ,25, ,29, ,-1, ,19, ,26, ,36, ,0, ,733, ,1611, ,SN BR, ,M, ,M, ,M, ,  T, ,28.84, ,30.19, ,2.8, ,23, ,6, ,18, ,210, ,13, ,280, 
This Winter,94239,20161207,26, ,17, ,22, ,-7, ,10, ,19, ,43, ,0, ,734, ,1611, , , ,M, ,M, ,M, ,0, ,29.14, ,30.52, ,3.2, ,29, ,3.7, ,11, ,320, ,9, ,280, 
This Winter,94239,20161208,24, ,14, ,19, ,-10, ,14, ,19, ,46, ,0, ,735, ,1611, ,SN BR, ,M, ,M, ,M, ,0.05, ,28.93, ,30.35, ,3, ,28, ,3.6, ,13, ,230, ,10, ,230, 
This Winter,94239,20161209,23, ,20, ,22, ,-7, ,19, ,20, ,43, ,0, ,736, ,1610, ,SN BR, ,M, ,M, ,M, ,0.03, ,28.77, ,30.18, ,0.5, ,30, ,0.8, ,6, ,260, ,6, ,270, 
This Winter,94239,20161210,23, ,10, ,17, ,-12, ,17, ,19, ,48, ,0, ,737, ,1610, ,SN BR, ,M, ,M, ,M, ,0.01, ,28.63, ,29.99, ,0.2, ,19, ,2.7, ,9, ,130, ,7, ,130, 
This Winter,94239,20161211,24, ,15, ,20, ,-9, ,18, ,20, ,45, ,0, ,738, ,1610, , , ,M, ,M, ,M, ,0, ,28.66, ,30.02, ,1.1, ,30, ,1.5, ,10, ,290, ,9, ,290, 
This Winter,94239,20161212,29, ,16, ,23, ,-5, ,19, ,22, ,42, ,0, ,739, ,1610, ,SN, ,M, ,M, ,M, ,  T, ,28.88, ,30.25, ,1.9, ,31, ,2.3, ,10, ,290, ,9, ,290, 
This Winter,94239,20161213,24, ,12, ,18, ,-10, ,13, ,18, ,47, ,0, ,740, ,1610, , , ,M, ,M, ,M, ,0, ,29.02, ,30.4, ,2.3, ,28, ,3.4, ,12, ,280, ,9, ,280, 
This Winter,94239,20161214,17, ,8, ,13, ,-15, ,10, ,13, ,52, ,0, ,740, ,1610, ,SN BR, ,M, ,M, ,M, ,  T, ,28.86, ,30.29, ,3.8, ,29, ,3.9, ,16, ,280, ,14, ,290, 
This Winter,94239,20161215,24, ,17, ,21, ,-7, ,16, ,19, ,44, ,0, ,741, ,1611, ,SN BR, ,M, ,M, ,M, ,  T, ,28.63, ,29.99, ,2.3, ,29, ,2.4, ,14, ,320, ,13, ,280, 
This Winter,94239,20161216,19, ,4, ,12, ,-16, ,7, ,12, ,53, ,0, ,742, ,1611, , , ,M, ,M, ,M, ,0, ,28.79, ,30.17, ,0.7, ,29, ,2.8, ,11, ,270, ,9, ,260, 
This Winter,94239,20161217,16, ,2, ,9, ,-19, ,2, ,7, ,56, ,0, ,743, ,1611, , , ,M, ,M, ,M, ,0, ,29.08, ,30.48, ,2.2, ,9, ,2.5, ,11, ,110, ,8, ,120, 
This Winter,94239,20161218,17, ,2, ,10, ,-17, ,6, ,10, ,55, ,0, ,743, ,1611, , , ,M, ,M, ,M, ,0, ,29.16, ,30.57, ,0.6, ,9, ,1.6, ,M, ,M, ,6, ,170, 
This Winter,94239,20161219,22, ,12, ,17, ,-10, ,13, ,17, ,48, ,0, ,744, ,1612, ,SN BR UP, ,M, ,M, ,M, ,0.02, ,28.85, ,30.23, ,4.1, ,10, ,4.4, ,18, ,100, ,14, ,130, 
This Winter,94239,20161220,43, ,15, ,29, ,2, ,23, ,28, ,36, ,0, ,745, ,1612, ,SN FZFG BR, ,M, ,M, ,M, ,0.08, ,28.8, ,30.16, ,1.9, ,31, ,5.4, ,26, ,320, ,21, ,320, 
This Winter,94239,20161221,35, ,21, ,28, ,1, ,24, ,27, ,37, ,0, ,745, ,1612, , , ,M, ,M, ,M, ,0, ,29.05, ,30.41, ,0.5, ,31, ,6.7, ,21, ,270, ,20, ,270, 
This Winter,94239,20161222,31, ,24, ,28, ,1, ,23, ,26, ,37, ,0, ,746, ,1613, ,SN BR, ,M, ,M, ,M, ,  T, ,28.66, ,30.01, ,1.8, ,32, ,2.6, ,13, ,300, ,10, ,310, 
